,Unnamed: 0,track_id,genre_name,sample_start,acousticness,danceability,energy,valence,liveness
39,39,2iDjCLUOGhJtz5cPHljGVd,hip hop,21,0.0136,0.816,0.578,0.302,0.0412
40,40,4uauJPFh3P9ITHHtNhcCeF,country,7,0.0202,0.506,0.837,0.546,0.292
41,41,3i1B1PnsfnOQPGVIzhf1lr,hip hop,3,0.11,0.723,0.732,0.503,0.484
42,42,38HMdlq9k1srDrQavwIFvY,r&b,1,0.362,0.757,0.517,0.398,0.123
43,43,1oqQ24UjGZicCYUYHBbqkq,rap,9,0.408,0.773,0.677,0.36,0.344
44,44,1jzIJcHCXneHw7ojC6LXiF,rap,22,0.308,0.538,0.612,0.684,0.213
45,45,05ht6LtilQXryLlGAKH208,pop,25,0.709,0.505,0.476,0.2,0.129
46,46,0zW6xwG3WfPv2WFAj6NUC9,electronica,23,0.989,0.327,0.144,0.0407,0.0701
47,47,4WwX9xz0xoEp24z6JjFyvE,orchestra,16,0.976,0.271,0.121,0.126,0.631
48,48,64lav7jWJqd5P4oWm4Ova6,folk,15,0.755,0.49,0.254,0.165,0.146
49,49,17JA4HlieSH7TY3pQk21MJ,rap,20,0.00274,0.91,0.567,0.545,0.498
50,50,1wjNMebbdprgxbCckkhEbL,classical,23,0.977,0.126,0.296,0.0729,0.129
51,51,28mIIBZt0jAe8k9g52NOsX,hip hop,20,0.333,0.877,0.375,0.0832,0.101
52,52,6OHWgUuDDedHRVhcg8vlaf,electronica,1,0.0108,0.603,0.606,0.403,0.108
53,53,02yRHV9Cgk8CUS2fx9lKVC,r&b,13,0.0566,0.469,0.664,0.248,0.482
54,54,0EAzlhtMYxRb6wbi6KnPjC,pop,15,0.421,0.38,0.553,0.384,0.0788
55,55,1fgr2w4aCZmZBHKHblYxWI,orchestra,11,0.953,0.171,0.0246,0.0351,0.195
56,56,4gBzl7sX7yTjZIzvs9VFpN,jazz,0,0.56,0.494,0.434,0.66,0.13
57,57,2K87XMYnUMqLcX3zvtAF4G,pop,11,0.109,0.73,0.703,0.595,0.0657
58,58,5voIoFpbuy0frbhBzqenqC,jazz,19,0.969,0.618,0.172,0.462,0.079
59,59,3OMpIoONQH8rSscaZLozFQ,country,14,0.103,0.378,0.903,0.457,0.134
60,60,3cltha6ZPutKM8YmRBBb9L,metal,21,9.84e-05,0.579,0.914,0.504,0.153
61,61,144JMbvbR5txNzoZ112wo4,pop,20,0.0495,0.593,0.923,0.587,0.29
62,62,6SYK4SzELw0FVgpAzaeMK8,rap,8,0.206,0.525,0.649,0.71,0.172
63,63,19Fa5XbbEFIaI3zQLMmk3b,reggae,6,0.139,0.676,0.658,0.941,0.0866
64,64,1SgHNH36l41IIhuYGY4VCa,r&b,0,0.261,0.544,0.557,0.482,0.129
65,65,45OfR7ugJMgbFDuNOVpIq3,pop,4,0.0448,0.635,0.795,0.404,0.119
66,66,3HrRXcEiYd3Cy7436USBDe,classical,6,0.988,0.425,0.167,0.134,0.109
67,67,1eGSgC6ZhJ8D4nrZZ83LyA,metal,1,0.00585,0.481,0.902,0.608,0.0722
68,68,6VDgD9sh7sC3RM6WSZ61uz,classical,25,0.921,0.364,0.139,0.386,0.0578
69,69,6EeM2KS3edlCdpSXJShMXR,reggae,23,0.0611,0.76,0.626,0.5,0.184
70,70,2JdLYKj6k9Ksl6TuVJcN3V,country,6,0.145,0.745,0.713,0.669,0.0752
71,71,54VYxYYV1kGkVKYOZVzuDD,rap,23,0.085,0.752,0.619,0.386,0.107
72,72,4wcOo3mJXC7sh0iULJsW6K,rap,11,0.272,0.892,0.597,0.895,0.0815
73,73,4pWawf1Rq4qHDv4Ktqjg2D,pop,7,0.0663,0.589,0.826,0.215,0.367
74,74,0mIuIBLkaRvPCz6A0mPqbM,r&b,1,0.371,0.814,0.431,0.542,0.335
75,75,3WqGSns77QbeTxL3s446xt,orchestra,18,0.968,0.195,0.0187,0.0387,0.138
76,76,4mC0X5LocemDIEDLpHoQOJ,reggae,9,0.198,0.807,0.415,0.498,0.162
77,77,1ivYkOUQ7g1seCs1vt1vaU,soul,20,0.073,0.595,0.888,0.617,0.17
78,78,7cCoEL8adnIGrbmoEiJgy8,soul,7,0.758,0.349,0.486,0.329,0.114
79,79,43IIpTvTyEEiDWQknIhngR,country,13,0.187,0.588,0.795,0.725,0.101
80,80,5fs3sNq3KK9jpbTNCf324m,rock,20,0.0882,0.371,0.941,0.767,0.0658
81,81,6kEerWqCsW4jZqfNmFdNVP,reggae,2,0.0561,0.73,0.595,0.88,0.153
82,82,3X9OVlc4YaL9nowxAVcJex,r&b,15,0.0298,0.577,0.615,0.112,0.0969
83,83,1NNnmmBEaId0uoWfvtNd8F,pop,1,0.907,0.451,0.0873,0.456,0.354
84,84,0mkkan9UaUaKKuWHbFyOEC,orchestra,0,0.964,0.224,0.0498,0.0834,0.593
85,85,2R1M1otgehlvcvPtrgqBuq,folk,10,0.375,0.559,0.432,0.5,0.716
86,86,1WlHGGR5uYKdR6GDkUnaYC,rap,25,0.471,0.677,0.603,0.244,0.0927
87,87,3Z91zko9paarQNXjbsae8l,rap,11,0.45,0.666,0.537,0.185,0.144
88,88,73XQBWHSVLL1939hb8cQTm,folk,14,0.265,0.515,0.496,0.651,0.182
89,89,6H75Ki32BRrJFQeDNR05s1,r&b,11,0.0936,0.837,0.662,0.679,0.113
90,90,2N7LJO1uufnSeXIwxooTzg,jazz,10,0.727,0.64,0.417,0.678,0.199
91,91,5E0ksdOzJS4WADfQw3b9u3,pop,20,0.167,0.608,0.917,0.462,0.366
92,92,1ffHLoaaQEArsHP8azdAR9,reggae,9,0.0122,0.889,0.548,0.973,0.111
93,93,7hfRrdFJgFKK3cJ4rmkecE,hip hop,19,0.192,0.821,0.703,0.536,0.0816
94,94,5FuJExXuGfpFSJAh2QsZM5,reggae,13,0.0785,0.809,0.686,0.731,0.373
95,95,0Otf1ZfYNIjhqFIuJk0fsy,jazz,5,0.991,0.358,0.452,0.525,0.14
96,96,5WvgJumtj0xeTgchWCLTWj,electronica,22,0.339,0.668,0.604,0.0438,0.0851
97,97,71rZptTxRNwTEg4i9DXUnO,rock,2,0.0118,0.58,0.742,0.486,0.078
98,98,1KLpjQFgubHI3GkAICCNH3,soul,9,0.715,0.526,0.774,0.715,0.437
99,99,2rvQ8M4T6rbpc2c63pwNMu,metal,3,7.94e-05,0.494,0.969,0.129,0.0736
100,100,0wb0X7n3cAKeajIOguyd9t,pop,5,0.736,0.624,0.315,0.525,0.115
101,101,5Einzxx7I1BC5iFWgqv91X,funk,8,0.661,0.454,0.328,0.503,0.109
102,102,1q6a6Ok2UGwYXrvjphsl7Y,soul,11,0.781,0.699,0.52,0.835,0.106
103,103,4czopM9AcLjrH4IunzRoBg,reggae,14,0.0497,0.75,0.474,0.425,0.0896
104,104,0EqtsCvcDjEz6svFsaV5HN,folk,17,0.604,0.616,0.346,0.344,0.0914
105,105,2WUVgEi53jPgIwO6Dmyww4,orchestra,6,0.961,0.351,0.148,0.369,0.617
106,106,3Lk77QOBVywNAVSqOPcuw2,folk,24,0.233,0.48,0.435,0.538,0.204
107,107,4Sy0ERn6xP83oQsA7G9cmh,folk,21,0.0112,0.447,0.592,0.455,0.101
108,108,1nGDsTkP1npeWj4hJ9s9pw,classical,19,0.993,0.394,0.00948,0.0423,0.112
109,109,1klrDyGRsCBPofZdqdaZp6,rock,0,0.0138,0.515,0.928,0.389,0.107
110,110,4CCUesOHmlajKGEqXPx5P1,rap,18,0.0451,0.578,0.978,0.656,0.301
111,111,0J8gBpkB1evBElfVNc4jf6,folk,18,0.514,0.46,0.39,0.467,0.0981
112,112,5mgC1uKXW7Gg2I0LJvdEcU,pop,16,0.102,0.797,0.574,0.629,0.154
113,113,1ugnkXXn4yQF0jKzBh8mFY,country,18,0.191,0.761,0.773,0.944,0.0394
114,114,7aMj45DNyy21jAMScuC19V,metal,19,1.46e-05,0.433,0.943,0.262,0.222
115,115,44HOPZhyHJzeCmREzzmT5V,jazz,17,0.989,0.709,0.424,0.851,0.138
116,116,4mpUaApNea2QhQshM4xyr4,country,6,0.0273,0.669,0.861,0.72,0.0586
117,117,43OL0dGJqivn6EPGP3BnoI,rap,8,0.202,0.636,0.711,0.555,0.297
118,118,2bKQdj9DjUQT9q8OvTgCM2,jazz,18,0.723,0.365,0.226,0.416,0.169
119,119,7c3NImFA23mDCifvAzSu0T,rock,0,0.197,0.353,0.87,0.453,0.123
120,120,0Nj2xSYceiL1jpocHHuvN7,electronica,15,0.848,0.697,0.351,0.437,0.0782
121,121,7uv1H2DoWiGnxTWMV6B5qV,jazz,25,0.732,0.514,0.499,0.719,0.177
122,122,1hg7VJxhQXisOzwqDfuFPh,electronica,22,0.00571,0.646,0.787,0.231,0.104
123,123,3LDvLibID9j32PoWnT6v80,hip hop,18,0.0309,0.705,0.611,0.596,0.0903
124,124,2W5WCpIzIQ2kNzBlUMJGZm,pop,19,0.0203,0.687,0.792,0.774,0.0717
125,125,4AWat1OHf5xvsDupu4Yfg2,r&b,6,0.0325,0.763,0.524,0.338,0.0892
126,126,0Bi1amRigSOIzLc21hOH6p,pop,10,0.0283,0.874,0.712,0.585,0.0824
127,127,0O87QQVWgCkkXAfrhsal55,folk,3,0.23,0.477,0.28,0.362,0.0888
128,128,52gtzILeBtgvuflJkF1BAE,electronica,3,0.0477,0.799,0.709,0.845,0.0751
129,129,6xGrfYIoclflaZvBUeFAwA,soul,7,0.338,0.435,0.677,0.745,0.327
130,130,63qPlpT3S35NXJtiLTxkxY,metal,24,0.00607,0.401,0.943,0.165,0.169
131,131,39wBwRPOitLzi01PXzpioC,country,22,0.348,0.622,0.671,0.342,0.16
132,132,4Vl4sf0EljY8GxAyjqJD6p,folk,2,0.78,0.438,0.464,0.288,0.161
133,133,0phAx12SI8oWN1AmhyceSQ,electronica,8,0.38,0.676,0.751,0.758,0.102
134,134,5A6OHHy73AR5tLxgTc98zz,hip hop,6,0.0646,0.684,0.834,0.538,0.271
135,135,0spN4UlSI0X6YSYCWpSzgz,metal,17,0.458,0.544,0.336,0.298,0.133
136,136,3UgSQu6WwrXfKKDq019IHE,pop,24,0.134,0.485,0.928,0.348,0.217
137,137,64lIUwQx1vwo4PIrS5jYb1,folk,12,0.64,0.792,0.289,0.355,0.108
138,138,5cWU0i23BOS8pSwrYWEMS8,country,2,0.056,0.67,0.874,0.601,0.28
139,139,36aXQ01kpCIjBy9oCBjWGm,pop,0,0.237,0.758,0.534,0.704,0.119
140,140,629dBQoXYulovOmgXFKzHO,rap,11,0.768,0.619,0.514,0.304,0.127
141,141,6bRXQqoKvQNEXSQUpm351h,jazz,20,0.755,0.257,0.14,0.0733,0.088
142,142,6OzOsP5Ftn3osfuCvSxnYr,electronica,24,0.83,0.184,0.0986,0.0367,0.141
143,143,5nrE0KJHyfQfq30y0iJ32i,rock,21,0.0109,0.387,0.505,0.452,0.758
144,144,3cFWIhrapYb2VoNOUbo9Re,country,17,0.635,0.568,0.499,0.243,0.122
145,145,2U52Hp8zYnG2kvt2de0M2L,r&b,0,0.244,0.311,0.511,0.349,0.768
146,146,4ogFKRgF6CWAmMWcstMU08,pop,15,0.44,0.712,0.496,0.638,0.186
147,147,0kJukmNUjDGh1pfTymS1Fz,jazz,19,0.957,0.514,0.296,0.356,0.665
148,148,7zBQRGpYImAdIZc97FNj3V,rap,13,0.0111,0.596,0.815,0.459,0.174
149,149,4URnM2xMiKC2xNElsiY44q,soul,9,0.0364,0.419,0.518,0.375,0.0923
150,150,26toN8KxvctZr3u8RfXxOv,funk,18,0.132,0.468,0.242,0.384,0.0782
151,151,3TaB7A1jlJJW2fWbdkscIh,hip hop,19,0.645,0.681,0.547,0.443,0.506
152,152,0SUEomEoBOJIsSar9hmo10,country,14,0.144,0.679,0.748,0.723,0.154
153,153,1w4n7UQl23LFYYq98ijk0k,orchestra,21,0.978,0.431,0.0181,0.403,0.0981
154,154,61h6Ge9RLLkEY3RwLQqUPc,orchestra,1,0.904,0.325,0.463,0.231,0.321
155,155,5chgte6PLqxDVWXIUhVwBn,r&b,4,0.364,0.71,0.572,0.642,0.129
156,156,4DxTiUiPTKOIYts5WRpXpn,reggae,2,0.143,0.588,0.652,0.909,0.0825
157,157,1XMFF2I0c8mt5qABxtQlGQ,r&b,14,0.374,0.747,0.495,0.485,0.0998
158,158,1BJyy0JQMW0Dq5htaUGxZC,classical,0,0.975,0.24,0.00445,0.322,0.0693
159,159,6CG3BXccaxPwFwymSSJBNy,country,5,0.178,0.756,0.417,0.831,0.123
160,160,4QwcuKjGjtl5fZe7kDdULV,metal,21,0.00672,0.228,0.872,0.278,0.242
161,161,252fAjaO4HJxPwpBnCKN7D,electronica,7,0.0362,0.548,0.798,0.079,0.0915
162,162,7dLIBLyWAsbXDhcZFMzKVv,electronica,5,0.143,0.682,0.449,0.858,0.362
163,163,4OJQVDE3XnyPSBPcPe0kAu,jazz,3,0.846,0.391,0.468,0.311,0.7
164,164,6NqSWFrElFnZPIY8OeUPma,electronica,13,0.0433,0.642,0.445,0.113,0.359
165,165,4LIw2QRvZWvtV48O92yfKu,jazz,8,0.61,0.586,0.357,0.61,0.105
166,166,2SuMoyOaAVBg5AzfKyZaKV,hip hop,21,0.0496,0.779,0.66,0.526,0.0825
167,167,3gnZ5IguvkLCAGVKJdHD7n,r&b,22,0.311,0.484,0.335,0.107,0.109
168,168,5iUQMwxUPdJBFeGkePtM66,hip hop,22,0.00826,0.836,0.67,0.556,0.0837
169,169,60i4NXwqBKyGbrAgJb2a9N,reggae,5,0.0221,0.745,0.457,0.646,0.0557
170,170,19P6cJstaoQJHtHW3HOGcg,country,5,0.65,0.617,0.468,0.333,0.141
171,171,5vagrguhKusDNKj179pu8R,r&b,19,0.619,0.652,0.292,0.304,0.174
172,172,20vhk8SGHTKt23DXbsMiUz,folk,16,0.00197,0.546,0.676,0.598,0.226
173,173,2L93TdW2GMue1H2zlkt30F,folk,16,0.922,0.409,0.172,0.352,0.111
174,174,3UvkoYw8FicuTMDPlkv0IB,jazz,1,0.617,0.563,0.355,0.501,0.12
175,175,7ntbygnntLmceg6aYl0nT4,funk,11,0.153,0.449,0.532,0.441,0.149
176,176,5Zx9VpLotu9aFYqq61NAip,hip hop,4,0.264,0.921,0.586,0.657,0.119
177,177,50G0j3Ga5qJ7noq8vDdbWQ,country,11,0.171,0.771,0.445,0.593,0.0655
178,178,2ub9SKEk2RC7VyS1MUaGFS,hip hop,16,0.256,0.545,0.804,0.329,0.153
179,179,0O5brqyThK4RkcbhGGwJZU,hip hop,22,0.797,0.53,0.626,0.448,0.22
180,180,1wYXIhJXqlIAGS6sbzpTL6,rock,9,1.77e-05,0.465,0.946,0.338,0.134
181,181,44MktG3yECrGmoOVz755ug,funk,14,0.605,0.458,0.471,0.883,0.111
182,182,0Ts3pJTH87wZw9oPW46nCh,orchestra,4,0.981,0.216,0.149,0.154,0.618
183,183,0fKDnkXdfJwk0DEW9W83VY,soul,19,0.125,0.338,0.175,0.201,0.108
184,184,7p7F0wilJFy4w6DsQ4O1se,metal,16,0.0117,0.444,0.907,0.88,0.175
185,185,2bGs2tuqoThglpGFBWmXoz,jazz,11,0.424,0.332,0.675,0.432,0.129
186,186,13XfZrg4UinhxKLWjJ7HoU,country,25,0.508,0.723,0.563,0.81,0.26
187,187,3NmRPLkEx1EL7LHAe3OZVr,reggae,0,0.194,0.832,0.704,0.773,0.386
188,188,22qi4u4h6vD4ksMLarmc1U,reggae,15,0.238,0.706,0.84,0.883,0.0737
189,189,3sfydNh0QQAdnIAtDVG16H,hip hop,9,0.00193,0.676,0.73,0.489,0.0627
190,190,0NvvimA48pRrKKYAUosAud,folk,13,0.893,0.549,0.273,0.669,0.676
191,191,0Rm6GWdapFsg4Z6r2Ae3s8,pop,4,0.128,0.6,0.931,0.716,0.0688
192,192,2Dlc1dDKDYYyVX0Ut3PCJV,reggae,23,0.0546,0.75,0.589,0.841,0.164
193,193,5n6paEeeSiriJRf1EVBjIv,rock,21,0.285,0.589,0.492,0.417,0.0634
194,194,23MrkN7g6Q5U7GLIxNHN1B,rock,22,0.0751,0.507,0.847,0.566,0.372
195,195,3GMR3hyv8BccozoebVMve3,hip hop,12,0.0405,0.856,0.696,0.718,0.0901
196,196,23rgFPodbCa3l5XqCoUP2P,jazz,18,0.804,0.623,0.445,0.837,0.148
197,197,2VBSOgBcnLHkfat8P2VGvf,country,10,0.419,0.788,0.748,0.608,0.0638
198,198,15vlECj7ar5W25GwUuiTVS,reggae,24,0.482,0.667,0.529,0.754,0.127
199,199,6p5abLu89ZSSpRQnbK9Wqs,r&b,0,0.0697,0.733,0.676,0.701,0.208
200,200,5sesHCQziHg85y8dlnNWJC,funk,1,0.551,0.569,0.776,0.391,0.796
201,201,1y58wFuYYnVsCnY8DsOELY,soul,20,0.219,0.795,0.587,0.723,0.0486
202,202,5KnbVhc1dt4ruQ8qrP4xtc,jazz,13,0.995,0.484,0.0678,0.278,0.128
203,203,42TnDTDd1uBcaVxF4Z8QGS,classical,3,0.932,0.332,0.093,0.35,0.108
204,204,6TRVvpoVFwyYyIGTFh0Y7P,hip hop,11,0.299,0.55,0.692,0.593,0.198
205,205,2OW7O0i5KH33BUiDod0gve,reggae,18,0.597,0.796,0.526,0.905,0.076
206,206,10K3cLNxSH5XLs9X951hLR,country,6,0.104,0.494,0.599,0.457,0.0882
207,207,20vQ82uC2ckgVeUsUP0yav,funk,20,0.132,0.64,0.779,0.743,0.0379
208,208,5cfGJHxNcS1S2qyZj9xH6z,funk,6,0.334,0.615,0.416,0.284,0.0913
209,209,63zfeu3U6ylftUR2ULT6Vf,reggae,14,0.0869,0.811,0.653,0.572,0.0786
210,210,55iDwZfpaU7ytsadT7BDVE,funk,4,0.568,0.645,0.639,0.72,0.326
211,211,11aBFgGSYzK9cdBhhDT2jP,hip hop,19,0.0235,0.825,0.672,0.342,0.696
212,212,0hebjXwdDFHS1kHDQ82HZr,reggae,1,0.0521,0.76,0.568,0.962,0.0666
213,213,1njxWb5fM5L5eEq9MyWddU,soul,4,0.974,0.371,0.057,0.33,0.113
214,214,0Yp3wCUpjrG7NWWPDpmQXm,rap,15,0.00888,0.858,0.398,0.258,0.112
215,215,15wj47tE34wiwaJTDtcZgr,funk,15,0.145,0.459,0.563,0.572,0.0573
216,216,4NRFiS0pHjTFDjOm1LWTZj,country,25,0.85,0.472,0.338,0.522,0.0761
217,217,3i5bJFIAkgoZqJoRAQqAKO,folk,16,0.392,0.538,0.492,0.899,0.051
218,218,6Al8BRmOrL1BE4Gle7XgJn,reggae,2,0.0504,0.743,0.755,0.721,0.178
219,219,2HCaIYjkvWSZzaSKUoOh3d,rock,1,0.513,0.456,0.47,0.639,0.444
220,220,2vPcxNVTD4SBjf2hnIi6Jv,rock,10,0.0633,0.516,0.755,0.165,0.107
221,221,44RkXLJEQ59gQhP7xkVZMJ,r&b,9,0.27,0.678,0.662,0.424,0.176
222,222,2fCoq1wZzsa18L8mD33iuM,rap,22,0.0896,0.665,0.612,0.3,0.22
223,223,4d3XHYFFuYYzxWr2cJ6yQl,jazz,14,0.876,0.487,0.145,0.142,0.149
224,224,5WzvMWs3IrIWnLL77XUmFI,orchestra,6,0.00959,0.698,0.686,0.933,0.243
225,225,4aQJOU4vaoPkwGsIEBBGcr,metal,8,4.48e-05,0.259,0.989,0.0842,0.358
226,226,0W43LnKXzRivi0WPaoBLVO,metal,24,8.08e-05,0.262,0.928,0.533,0.195
227,227,5XSicRSCGLKXZLMGpCMmbc,orchestra,9,0.984,0.483,0.11,0.334,0.32
228,228,5EhvDAos2Ppf82XN5EV60u,electronica,2,0.934,0.191,0.0773,0.0382,0.0778
229,229,4lIyYuC3f68DZjeIfo6BrM,hip hop,18,0.552,0.549,0.124,0.794,0.175
230,230,4TYI2YExAWaIOpGP4y7AbI,rock,7,8.2e-05,0.306,0.709,0.0436,0.101
231,231,16lm36IKWubpuACWTA6rDR,classical,9,0.98,0.333,0.222,0.161,0.141
232,232,0stR8D5UnArYeFnZ714RyY,r&b,24,0.699,0.249,0.268,0.0655,0.129
233,233,5UxJZ4bAva9wi19szFiddW,rock,8,0.507,0.605,0.4,0.389,0.161
234,234,7tUEDtHchueeUJTfEFEhii,hip hop,14,0.068,0.615,0.72,0.696,0.0889
235,235,6VnqGxiMNexOe0kRmIsBw4,pop,23,0.673,0.696,0.57,0.329,0.098
236,236,0qmCWYu7hOvriyuqXfPw7I,rock,10,0.158,0.317,0.571,0.234,0.0848
237,237,0DdN7DAm3SVVfhrsaoGMuE,r&b,8,0.236,0.667,0.514,0.477,0.0694
238,238,3KZRILv6sbLbpHiCgaMwAp,pop,6,0.127,0.672,0.549,0.231,0.136
239,239,4mBL2TXTKvSJbgtXfwFtfJ,electronica,4,0.755,0.533,0.275,0.0491,0.346
240,240,6s0sry4EyiNcnmFnTUupuD,soul,21,0.0519,0.725,0.679,0.488,0.364
241,241,6QaOU7xPK3UJKsoNroRCWn,r&b,20,0.617,0.665,0.551,0.848,0.114
242,242,616oo55F2rXPJobqPV2IjK,folk,20,0.821,0.345,0.206,0.15,0.694
243,243,6e8Ou0wiqAzIpWb2eSxll8,hip hop,16,0.0339,0.877,0.534,0.89,0.0441
244,244,3SdTKo2uVsxFblQjpScoHy,soul,15,0.57,0.65,0.306,0.605,0.0707
245,245,3iUFhTzNUdeNQtjxpDlprG,r&b,2,0.0644,0.637,0.701,0.246,0.0851
246,246,0EbwUhWO0HinKzqxTOykCy,hip hop,19,0.0871,0.656,0.814,0.526,0.173
247,247,26OXqy5nri9BmrG6wKFw7p,funk,18,0.367,0.816,0.722,0.964,0.215
248,248,1Uf8V1JOy0ukcsEYpBHHxy,folk,22,0.0867,0.657,0.387,0.7,0.158
249,249,3nj18sxe1CA0eohDsDirrm,folk,15,0.953,0.53,0.397,0.795,0.31
250,250,0N897u5L9LpXEvCu6yhRIf,metal,23,0.372,0.491,0.74,0.694,0.187
251,251,32zMAD8gEAa0GHQohdzBh8,rock,15,0.00161,0.242,0.533,0.119,0.308
252,252,4F1p9de1hUXV7l0DBpPUhL,metal,3,3.48e-05,0.256,0.863,0.521,0.364
253,253,0B1zVsLqmV9ibIFdNS5tGs,rock,2,0.0531,0.583,0.833,0.81,0.16
254,254,7Kux9Q1ZYx1V1j3wre0aWk,hip hop,6,0.0428,0.584,0.741,0.463,0.345
255,255,0F3ZS2gMHCImgws6ewz1H7,folk,1,0.725,0.466,0.715,0.824,0.128
256,256,1MI0O2mwTpdwkZpfWz4J7o,folk,11,0.111,0.452,0.574,0.811,0.0823
257,257,7Ca5yTC81P0AtRnNKHKzwJ,rock,6,4.82e-05,0.441,0.985,0.24,0.0474
258,258,5YKROw3C2WKsK5TW6BMeWm,pop,21,0.308,0.571,0.566,0.349,0.112
259,259,12ramZNYZnCxopHJFl16v8,classical,16,0.929,0.281,0.215,0.0858,0.214
260,260,0tZwHsG8450JhVUUIfdw9S,country,2,0.0509,0.544,0.806,0.668,0.254
261,261,7iLwbgNWVvnMG9A76L0fkl,electronica,24,0.0736,0.874,0.706,0.778,0.183
262,262,181FlqBRqsyfYs77KyR5Z0,orchestra,25,0.885,0.108,0.0838,0.0392,0.0693
263,263,30lLlmQZBHsiVLNcTKpqjd,soul,0,0.0621,0.777,0.457,0.854,0.137
264,264,2rd9ETlulTbz6BYZcdvIE1,metal,3,0.222,0.332,0.623,0.416,0.278
265,265,0YV73fsl9Wzlj61EPspjJ3,country,7,0.0181,0.454,0.827,0.355,0.114
266,266,2HJB0UGH3wzPivgZjnohQG,hip hop,5,0.0312,0.503,0.638,0.196,0.122
